file,type,version,variant,rows,seq1_randomized,seq3_randomized,seed_base
PRS-V3-1_ps1_random.csv,PRS,1,ps1_random,100,100,0,300010000
PRS-V3-1_ps2_random.csv,PRS,1,ps2_random,100,0,100,310010000
PRS-V3-1_ps1-ps2_random.csv,PRS,1,ps1-ps2_random,100,100,100,320010000
PRS-V3-2_ps1_random.csv,PRS,2,ps1_random,100,100,0,300020000
PRS-V3-2_ps2_random.csv,PRS,2,ps2_random,100,0,100,310020000
PRS-V3-2_ps1-ps2_random.csv,PRS,2,ps1-ps2_random,100,100,100,320020000
PRS-V3-3_ps1_random.csv,PRS,3,ps1_random,100,100,0,300030000
PRS-V3-3_ps2_random.csv,PRS,3,ps2_random,100,0,100,310030000
PRS-V3-3_ps1-ps2_random.csv,PRS,3,ps1-ps2_random,100,100,100,320030000
PRS-V3-4_ps1_random.csv,PRS,4,ps1_random,100,100,0,300040000
PRS-V3-4_ps2_random.csv,PRS,4,ps2_random,100,0,100,310040000
PRS-V3-4_ps1-ps2_random.csv,PRS,4,ps1-ps2_random,100,100,100,320040000
PRS-V3-5_ps1_random.csv,PRS,5,ps1_random,100,100,0,300050000
PRS-V3-5_ps2_random.csv,PRS,5,ps2_random,100,0,100,310050000
PRS-V3-5_ps1-ps2_random.csv,PRS,5,ps1-ps2_random,100,100,100,320050000
PRS-V3-6_ps1_random.csv,PRS,6,ps1_random,100,100,0,300060000
PRS-V3-6_ps2_random.csv,PRS,6,ps2_random,100,0,100,310060000
PRS-V3-6_ps1-ps2_random.csv,PRS,6,ps1-ps2_random,100,100,100,320060000
PRS-V3-7_ps1_random.csv,PRS,7,ps1_random,100,100,0,300070000
PRS-V3-7_ps2_random.csv,PRS,7,ps2_random,100,0,100,310070000
PRS-V3-7_ps1-ps2_random.csv,PRS,7,ps1-ps2_random,100,100,100,320070000
PRS-V3-8_ps1_random.csv,PRS,8,ps1_random,100,100,0,300080000
PRS-V3-8_ps2_random.csv,PRS,8,ps2_random,100,0,100,310080000
PRS-V3-8_ps1-ps2_random.csv,PRS,8,ps1-ps2_random,100,100,100,320080000
PRS-V3-9_ps1_random.csv,PRS,9,ps1_random,100,100,0,300090000
PRS-V3-9_ps2_random.csv,PRS,9,ps2_random,100,0,100,310090000
PRS-V3-9_ps1-ps2_random.csv,PRS,9,ps1-ps2_random,100,100,100,320090000
PRS-V3-10_ps1_random.csv,PRS,10,ps1_random,100,100,0,300100000
PRS-V3-10_ps2_random.csv,PRS,10,ps2_random,100,0,100,310100000
PRS-V3-10_ps1-ps2_random.csv,PRS,10,ps1-ps2_random,100,100,100,320100000
RRS-V3-1_ps1_random.csv,RRS,1,ps1_random,100,100,0,301010000
RRS-V3-1_ps2_random.csv,RRS,1,ps2_random,100,0,100,311010000
RRS-V3-1_ps1-ps2_random.csv,RRS,1,ps1-ps2_random,100,100,100,321010000
RRS-V3-2_ps1_random.csv,RRS,2,ps1_random,100,100,0,301020000
RRS-V3-2_ps2_random.csv,RRS,2,ps2_random,100,0,100,311020000
RRS-V3-2_ps1-ps2_random.csv,RRS,2,ps1-ps2_random,100,100,100,321020000
RRS-V3-3_ps1_random.csv,RRS,3,ps1_random,100,100,0,301030000
RRS-V3-3_ps2_random.csv,RRS,3,ps2_random,100,0,100,311030000
RRS-V3-3_ps1-ps2_random.csv,RRS,3,ps1-ps2_random,100,100,100,321030000
RRS-V3-4_ps1_random.csv,RRS,4,ps1_random,100,100,0,301040000
RRS-V3-4_ps2_random.csv,RRS,4,ps2_random,100,0,100,311040000
RRS-V3-4_ps1-ps2_random.csv,RRS,4,ps1-ps2_random,100,100,100,321040000
RRS-V3-5_ps1_random.csv,RRS,5,ps1_random,100,100,0,301050000
RRS-V3-5_ps2_random.csv,RRS,5,ps2_random,100,0,100,311050000
RRS-V3-5_ps1-ps2_random.csv,RRS,5,ps1-ps2_random,100,100,100,321050000
RRS-V3-6_ps1_random.csv,RRS,6,ps1_random,100,100,0,301060000
RRS-V3-6_ps2_random.csv,RRS,6,ps2_random,100,0,100,311060000
RRS-V3-6_ps1-ps2_random.csv,RRS,6,ps1-ps2_random,100,100,100,321060000
RRS-V3-7_ps1_random.csv,RRS,7,ps1_random,100,100,0,301070000
RRS-V3-7_ps2_random.csv,RRS,7,ps2_random,100,0,100,311070000
RRS-V3-7_ps1-ps2_random.csv,RRS,7,ps1-ps2_random,100,100,100,321070000
RRS-V3-8_ps1_random.csv,RRS,8,ps1_random,100,100,0,301080000
RRS-V3-8_ps2_random.csv,RRS,8,ps2_random,100,0,100,311080000
RRS-V3-8_ps1-ps2_random.csv,RRS,8,ps1-ps2_random,100,100,100,321080000
RRS-V3-9_ps1_random.csv,RRS,9,ps1_random,100,100,0,301090000
RRS-V3-9_ps2_random.csv,RRS,9,ps2_random,100,0,100,311090000
RRS-V3-9_ps1-ps2_random.csv,RRS,9,ps1-ps2_random,100,100,100,321090000
RRS-V3-10_ps1_random.csv,RRS,10,ps1_random,100,100,0,301100000
RRS-V3-10_ps2_random.csv,RRS,10,ps2_random,100,0,100,311100000
RRS-V3-10_ps1-ps2_random.csv,RRS,10,ps1-ps2_random,100,100,100,321100000
